상호명_지점,상권_코드,전용면적,리뷰수,별점,카페_추정매출
아이커피샵,3130001,135.2495781963017,1.0,4.835,1584045848.9800684
카페마지오,3120096,169.09436818605604,0.0,4.28,1157067454.171199
유메미루,3120013,398.6751543402984,82.0,4.09,1824625060.8057969
일립스,3120006,183.57484922888176,47.0,4.785,2479175884.2141657
에코레카페앤그로서리,3110008,157.9433991306075,227.0,3.8,794395159.0743366
반다지,3130001,70.06081662176035,0.0,,1275564906.2291293
모노커피,3120012,1548.9257397344331,30.0,4.5649999999999995,3217066818.1207833
정주,3110028,166.31937927887162,138.0,3.905,3706487998.7427244
심우방,3120008,65.54471266643542,0.0,4.75,850942751.7590989
레이지,3110003,427.7362641469555,64.0,3.9299999999999997,2369547870.5987887
나인커피로스터스,3110014,84.15723785212565,123.0,4.33,199165322.25424764
왕관커피숍,3120014,337.4589773149367,0.0,5.0,3617655327.281623
올리브,3110141,1186.579420197322,64.0,4.6125,3715990886.965556
카페이드라,3120007,66.83765108804818,200.0,4.595000000000001,1857260051.5267074
첫만남,3120012,135.0593808710689,484.0,3.8499999999999996,5161534070.989156
플러스커피앤코,3120003,253.1755010753779,16.0,4.5,1049990634.5060846
만타,3110028,27.170653980601244,41.0,2.9,1478679662.249166
카페다커피독립문,3110002,81.46879378746925,154.0,4.6,9177372801.268173
모던팩토리,3120007,48.25602639173027,0.0,,821246130.5107739
이미,3120008,1430.7379205518707,1069.5,4.68,5201668213.944384
미스터브리즈커피,3120127,667.5674466697445,7.5,4.335,3940242464.1711044
갤러리콘서트카페'시가연',3120008,143.308994330483,0.0,,976308047.445599
무궁화,3110037,1285.5892995639258,1079.0,4.365,2320255362.9619875
웬즈데이,3110008,99.6684313582741,0.0,,425003033.8634341
어반스테이,3120006,86.96898563911483,26.0,4.17,1874070068.4391565
통인길커피점,3130001,752.3035839523872,0.0,,4361827154.606288
사랑방,3130250,2449.733993615561,2747.0,4.375,1224347411.3544765
크레프트라온,3120072,512.1199442567901,0.0,,1040855618.78841
망고랑,3110018,168.08358036410266,72.0,2.92,333120341.215433
제비꽃다방,3110009,188.09107288893014,355.0,4.465,1396009562.2104015
수애뇨339,3110016,154.48764921632988,202.0,3.99,515006094.0438438
스튜디오잇,3120002,70.28184328093522,0.0,,877379194.5787029
더한옥,3120007,202.6865767397305,95.0,4.17,1579938631.3298485
문경새재,3120016,72.25401497368067,2697.0,3.665,15139215293.614016
카페마루,3120009,585.177911519955,237.0,4.0,10718057743.155853
슬로스텝,3120012,259.0758788131002,756.0,3.7,7811960168.476435
인산인해,3120008,141.76583038297167,31.0,3.545,1036135390.5938418
아더,3110544,138.9961518765478,1.0,5.0,346442594.1112194
카페자스,3120003,429.6776733809357,42.75,4.255,1436136400.5361223
구카페종로1점,3120006,891.9595894033297,0.0,,1888436196.5551689
더커피,3120003,662.464873604098,7.0,4.483750000000001,1262171695.685694
자후,3120004,3622.90023842675,0.0,,4690100889.436598
디끌레,3120176,193.40532739989604,195.0,4.4,890256619.6671221
비스트로에버,3130183,97.21566063373618,78.0,4.01,1502810879.6695573
누아흐,3130070,995.4785019696424,200.0,4.765000000000001,6459380653.357342
바람부는섬,3120008,96.3603667673541,12.0,4.65,924743238.1178612
수다방,3110476,84.53376891453233,1.0,5.0,96269207.58980246
모모모,3110891,167.47441067592143,2.0,4.635,201624511.63192916
혜성커피숍,3111071,131.34572228447462,0.0,,396243311.41755915
더쌍화커피,3130153,425.9479964895025,37.666666666666664,4.341666666666667,9533585421.050465
다리치,3120009,112.7762477879203,0.0,,3444578531.1855083
행복한커피상점커피정,3110640,877.0845314866931,0.0,,1810049852.1426609
몽떼,3110072,77.96622198784253,142.0,4.9,3326658227.3123837
올웨이즈온,3120160,100.55309524535188,0.0,4.66,2329047997.6286383
금나막스2,3120041,58.36315417865466,0.0,4.45,469659615.6939781
아사녀다방,3120009,473.9111120855675,4.0,4.9399999999999995,5463583228.009319
우이천커피,3110376,50.33819462691228,0.0,,978617829.7478814
제이드커피,3110615,1011.3791824144837,50.0,5.0,8671286213.814123
모타운커피,3111013,209.12847973842025,0.0,4.0,724305599.7509495
타쎄,3111085,93.85223297009506,0.0,4.66,1151426396.5620196
오앤디,3120065,107.54603385599309,370.0,4.68,6233452576.044117
카페체인지,3110140,225.94707561518572,8.0,4.855,1197548172.2098794
심스인베스트주,3120213,247.96381994532064,0.0,,1796395028.8544614
도서출판에이앤에이,3110005,788.7995120980737,0.0,,1444105301.663476
컨퍼런스하우스달개비,3120003,107.97687930623735,0.0,4.4,790099790.8143235
가은,3120090,366.2252306481831,0.0,,4316094978.524583
나눔문화연구소,3120002,147.98793433838784,0.0,,1233769657.4991484
보령중보재단,3120010,968.8517755831734,0.0,,7720973636.282054
아주신씨화곡파우암재단,3120003,185.9456852242784,0.0,,847011656.9517847
커피스미스에프씨종로지점주,3120006,102.4318028454009,0.0,2.7,1236434038.752585
청하고려인삼주,3110005,1385.4967107264274,0.0,,1903443066.336524
