상호명,지점명,시군구명,도로명주소,상가유형,행정동명_추정,임대료_분류,전용면적,전용면적(평),평당임대료,추정임대료(천원)
카페리빈홈플러스,금천점,금천구,서울특별시 금천구 시흥대로 391,집합,독산동,기타,9599.25481948857,2903.76151596847,102.97567,299016.7876270689
엔제리너스,을지로4가점,중구,서울특별시 중구 을지로 158,집합,을지로4가,기타,9375.659577696755,2836.1242596940997,90.975616,258018.1515782147
주원에이치케이영업소,,중구,서울특별시 중구 을지로 158,집합,을지로4가,기타,9375.659577696755,2836.1242596940997,136.463424,387027.227367322
카페베네을지로PJ호텔점,,중구,서울특별시 중구 마른내로 71,집합,인현동2가,기타,9375.659577696755,2836.1242596940997,131.33943399999998,372494.95502189203
에이스타테크놀로지,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,174.083428,492565.51472338295
디저트39,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,90.975616,257413.65296596085
감성커피,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,164.397434,465159.191933039
메가커피신도림역점,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,136.463424,386120.4794489413
메구스타,신도림점,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,164.397434,465159.191933039
요거프레소,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,90.975616,257413.65296596085
미방,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,148.794058,421009.7572673655
매머드익스프레스,신도림점,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,140.33121,397064.30117750866
탐앤탐스,,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,226.84399600000003,641850.4675335842
컴포즈커피신도림,푸르지오점,구로구,서울특별시 구로구 경인로 661,집합,신도림동,기타,9353.693785100322,2829.4796373344793,148.794058,421009.7572673655
