geometry
POINT (948847.235588 1946250.921721)
POINT (956917.629904 1952546.11752)
POINT (959092.238141 1952482.126867)
POINT (950202.557001 1942237.484461)
POINT (951965.756893 1945261.000879)
POINT (949043.978511 1943057.804032)
POINT (948148.057558 1953513.296465)
POINT (960468.445101 1943115.249709)
POINT (949228.151161 1943015.372308)
POINT (954895.191657 1953852.674107)
POINT (956794.632195 1944002.488627)
POINT (955347.257975 1951580.536618)
POINT (958564.14079 1951938.552325)
POINT (946401.13682 1951751.069795)
POINT (949967.182658 1942258.253408)
POINT (958917.866628 1962279.051848)
POINT (952292.772851 1948740.022283)
POINT (962657.381479 1958425.43763)
POINT (968555.250908 1949182.844549)
POINT (957999.276373 1947285.566253)
POINT (948353.497952 1957487.863494)
POINT (958965.171933 1952375.900859)
POINT (956164.092271 1957327.060655)
POINT (961138.971583 1943970.095662)
POINT (959074.12508 1947649.2814)
POINT (948586.227174 1943583.085628)
POINT (946303.276489 1951019.307465)
POINT (952671.52537 1951605.802514)
POINT (964111.916587 1948559.651435)
POINT (953069.859196 1954277.341699)
POINT (963929.944936 1953591.403138)
POINT (965332.538034 1946188.0477)
POINT (959751.662248 1959521.804826)
POINT (949612.337371 1940412.253663)
POINT (955177.01205 1952067.348899)
POINT (962627.87649 1958219.152262)
POINT (962714.368097 1951376.042342)
POINT (954879.903675 1943576.379631)
POINT (968657.414888 1949401.80267)
POINT (967410.403127 1945673.75352)
POINT (964800.788597 1954507.672409)
POINT (947202.316822 1939557.736383)
POINT (961055.570826 1944307.191773)
POINT (955352.535357 1951570.982017)
POINT (959075.040089 1943813.401301)
POINT (950483.624298 1942590.517308)
POINT (969511.421236 1944657.204769)
POINT (968463.653563 1950589.03147)
POINT (947804.778329 1957122.81145)
POINT (962266.033095 1962596.933262)
POINT (966845.774638 1944610.446168)
POINT (949116.330014 1957184.53115)
POINT (959051.798974 1961487.715444)
POINT (945427.386768 1952280.596554)
POINT (947436.810465 1940805.517584)
POINT (959361.936863 1944729.409796)
POINT (967279.142088 1947647.510496)
POINT (964806.628718 1954700.238231)
POINT (961199.805716 1956301.605848)
POINT (947102.196038 1939818.248508)
POINT (954772.599399 1943522.777916)
POINT (963241.003952 1948147.899196)
POINT (959315.849845 1951254.369519)
POINT (945052.587184 1945704.894657)
POINT (942507.896284 1945117.525511)
POINT (955649.456563 1954525.841089)
POINT (957559.937888 1952718.09077)
POINT (961385.318851 1954638.568238)
POINT (960830.605241 1951889.35719)
POINT (962563.550138 1958661.307116)
POINT (958736.17189 1955042.180177)
POINT (955355.701712 1944020.694943)
POINT (943075.548169 1944966.534426)
POINT (944178.899599 1948685.268805)
