query,found_name,score,reviewCount
내자리에프씨카페내자리,,,
카페내자리,카페내자리,,2
그릭데이고려대점,그릭데이 경희대점,4.86,123
더벤티고대점,더벤티 고대점,4.32,9
소소,소소,,27
카페해피캠퍼,카페 해피캠퍼,,38
티하우스나니,티하우스나니,,126
코끼리쥬스,코끼리쥬스,4.34,6
탐앤탐스,탐앤탐스 정릉점,4.27,19
메가엠지씨커피개포동역점,,,
보리원,보리원,,3
커피에반하다한성대,커피에반하다 한성대입구점 스마트 무인카페,,7
카페포조,카페포조,4.87,31
카페게이트망원역점,카페게이트 망원역점,,17
비크리스,카페비크리스,4.64,2
봉순이네다락방,봉순이네다락방 / 봉다방,,639
온어롤,온어롤,,42
커피마마,커피마마 길음동부우리집,4.41,24
이공커피,이공커피,,0
달리셔스,,,
오블룸,,,
카페동묘,카페 크로도 동묘점,,399
제로커피광장,제로커피 광장시장점,,7
세수대야왕빙수,왕세수대야빙수,,2
드래곤힐프린트샵,드래곤힐 프린트샵,,31
이디야,이디야커피 정릉중앙점,4.21,11
빽다방서초역점,빽다방 서초역점,4.45,27
커피에베이다,커피에베이다,4.62,17
보야,보야,4.11,8
콜렉트마이페이보릿,콜렉트마이페이보릿,,78
컴포즈커피굽은다리역사점,컴포즈커피 굽은다리역사점,,1
파이나무,파이나무,4.46,71
희망카페신목신협점,희망카페 신목신협점,,0
꿀소담,꿀소담,,230
카페그림살롱,드로잉카페 그림살롱,,11
보나때때공방,,,
명동당,,,
카페애일,카페애일,4.61,77
컴포즈커피은평서부,컴포즈커피 은평서부병원점,,6
로스팅팩토리,로스팅팩토리,4.21,6
커피야,커피야,4.44,2
카페앤,카페앤,4.87,74
아도리커피,,,
CAFE가끔,가끔 에그타르트바,,24
모퉁이,모퉁이,4.32,123
리안,리안,4.48,"3,628"
매머드익스프레스논현역점,매머드익스프레스 신사압구정점,4.66,25
더새봄,,,
숲,커피로스터스 숲,,31
디어다온,디어다온,,403
쌈바플스방,,,
정릉동커피,포틀리에,,57
별담,별담 성신여대점,,4
