상가업소번호,상호명,지점명,TRDAR_CD,TRDAR_CD_N,도로명주소,위도,경도,지번주소,신우편번호
MA010120220813465366,카페27도씨,,3120096,"이화여대(이대역, 이대)",서울특별시 마포구 신촌로 160,37.5563700099509,126.943389990284,서울특별시 마포구 대흥동 12-41,4104
MA010120220800213819,카페,,3120096,"이화여대(이대역, 이대)",서울특별시 마포구 신촌로 160,37.5563700099509,126.943389990284,서울특별시 마포구 대흥동 12-41,4104
MA010120220808059628,하늘아래바람,,3120012,대학로(혜화역),서울특별시 종로구 창경궁로26길 35,37.5819087841082,126.99958111041,서울특별시 종로구 명륜4가 154-12,3079
MA010120220812985963,메가엠지씨커피보문역점,,3110304,보문역 4번,서울특별시 성북구 보문로 124,37.5861148615946,127.019202073332,서울특별시 성북구 보문동1가 120,2851
MA010120220803306469,컴포즈커피송파,사거리점,3120230,송파사거리(송파역),서울특별시 송파구 가락로 111,37.5015529959148,127.108342084272,서울특별시 송파구 석촌동 295-11,5687
MA0101202409A0126473,힘이나는커피생활,종로구청점,3120006,종각역,서울특별시 종로구 삼봉로 98,37.5718253724623,126.982578806723,서울특별시 종로구 공평동 125-1,3158
MA010120220803399200,섹터118,,3120046,이태원(이태원역),서울특별시 용산구 보광로 118,37.5333178727598,126.994524028309,서울특별시 용산구 이태원동 131-40,4406
MA010120220800030923,92도,,3120055,군자역,서울특별시 광진구 천호대로110길 40,37.5555100357937,127.079266680439,서울특별시 광진구 능동 221-13,4985
MA010120220805312795,653.1카페,,3110743,시흥초등학교(시흥1동우체국),서울특별시 금천구 금하로 653-1,37.4538909339381,126.903582511933,서울특별시 금천구 시흥동 841-53,8627
MA0101202301A0074256,대한수제커피협회,,3110743,시흥초등학교(시흥1동우체국),서울특별시 금천구 금하로 653-1,37.4538909339381,126.903582511933,서울특별시 금천구 시흥동 841-53,8627
MA0106202406A2465141,스타벅스,대학로,3120013,이화사거리,서울특별시 종로구 대학로 57,37.5765568717004,127.001437707303,서울특별시 종로구 연건동 128-8,3082
MA010120220807803971,아름다운차박물관,,3120008,인사동,서울특별시 종로구 인사동길 19-11,37.5723664096487,126.985872770292,서울특별시 종로구 인사동 193-1,3162
MA0101202211A0042912,백억커피,구로점,3120130,구로디지털단지역,서울특별시 관악구 시흥대로160길 12,37.4815950414189,126.901195238731,서울특별시 관악구 신림동 1666-1,8768
MA010120220806460834,빽다방,석촌고분역점,3120226,석촌고분역,서울특별시 송파구 백제고분로 257,37.5027627080109,127.095134483238,서울특별시 송파구 삼전동 101-9,5604
MA010120220803140057,커픽스,,3111012,석촌역 6번,서울특별시 송파구 가락로11길 27,37.5027645032376,127.103706991494,서울특별시 송파구 석촌동 263-12,5683
MA0101202406A0131488,카페295,,3130183,상암동상점가,서울특별시 마포구 성암로13길 43,37.5763231957794,126.897526897273,서울특별시 마포구 상암동 1288,3930
MA0101202306A0055472,더쉐이프,,3120081,노원역,서울특별시 노원구 동일로218길 17,37.6538725500253,127.061772130263,서울특별시 노원구 상계동 726-1,1751
MA010120220805994501,카페아에,노원점,3120081,노원역,서울특별시 노원구 동일로218길 17,37.6538725500253,127.061772130263,서울특별시 노원구 상계동 726-1,1751
