상호명,지점명,TRDAR_CD,TRDAR_CD_N,지번주소,도로명주소,층정보,경도,위도,지하철_거리(m),지하철_역명,지하철_호선,버스_거리(m),버스정류장명
즐거운반딧불이,,3110486,은평구청,서울특별시 은평구 녹번동 76-12,서울특별시 은평구 은평로21길 32,1,126.930943352888,37.6026023880371,465,녹번,3,137,은평구청
달리는커피공릉숲길점,,3110433,공릉역 2번,서울특별시 노원구 공릉동 559-28,서울특별시 노원구 동일로184길 66,1,127.077289625082,37.6245723940389,399,공릉,7,343,공릉시장
카와블러썸,,3110729,가산동우체국,서울특별시 금천구 가산동 142-34,서울특별시 금천구 남부순환로108길 28,1,126.89179391136,37.477838608937,850,가산디지털단지,7,77,디지털단지오거리
넥스트페이지,,3110569,홍대땡땡거리,서울특별시 마포구 창전동 5-138,서울특별시 마포구 서강로9길 60,4,126.930523626816,37.5546422349158,564,신촌,2,314,현대백화점
공차홍대창전점,,3110569,홍대땡땡거리,서울특별시 마포구 창전동 5-138,서울특별시 마포구 서강로9길 60,1,126.930523626816,37.5546422349158,564,신촌,2,314,현대백화점
메가커피고투몰점,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
터미널에스프레소하우스,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
카페연,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
쥬스식스,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
공차고투몰점,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
엑스엑스커피메이커고투몰,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
쥬씨강남고속,터미널점,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
이디야커피,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
빽다방반포고투몰점,,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
빽다방반포고투몰,2호점,3120167,고속터미널(고속터미널역),서울특별시 서초구 잠원동 68-17,서울특별시 서초구 신반포로 200,,127.005044215872,37.50622472873,142,고속터미널,3,23,고속터미널(중)
슈퍼내추럴,,3110206,텃골근린공원,서울특별시 동대문구 전농동 221-8,서울특별시 동대문구 전농로23길 78,1,127.05265285312,37.5780768284135,707,청량리,1,367,전농로터리시장.동부교육지원청
뜨락,,3130010,종로신진시장,서울특별시 종로구 종로6가 313-1,서울특별시 종로구 종로40길 8-1,1,127.006588020581,37.5705650807239,250,동대문,4,103,종로6가.동대문종합시장(중)
핸드드립드로우커피콩,,3110698,개웅초등학교(개웅중학교),서울특별시 구로구 개봉동 351-13,서울특별시 구로구 개봉로11길 35-9,1,126.854217763795,37.4875651491788,924,광명사거리,7,175,대원주유소
호호커피집,,3110423,석계역 2번,서울특별시 노원구 월계동 62-7,서울특별시 노원구 화랑로 337-21,1,127.064957414307,37.615885297133,135,석계,6,105,석계역1번출구A
엘리스스푼케익&커피,,3130320,암사종합시장,서울특별시 강동구 암사동 496-18,서울특별시 강동구 상암로 47,1,127.128792743078,37.5497360559551,120,암사,8,113,암사역2번출구.암사종합시장
엘리스스푼케익＆커피,,3130320,암사종합시장,서울특별시 강동구 암사동 496-18,서울특별시 강동구 상암로 47,,127.128792743078,37.5497360559551,120,암사,8,113,암사역2번출구.암사종합시장
토란주인,,3110840,중앙대학교,서울특별시 동작구 흑석동 190-59,서울특별시 동작구 흑석로9길 3,1,126.959905691997,37.5075515194505,1180,상도,7,132,중앙대학교
커피레오,,3110671,등촌1동주민센터,서울특별시 강서구 등촌동 653,서울특별시 강서구 공항대로51길 24,1,126.857832068129,37.5552348135575,2024,우장산,5,170,강서대학교.강서LG베스트샵
퍼스트커피랩홍대,입구점,3110566,경의선책거리,서울특별시 마포구 동교동 179-39,서울특별시 마포구 신촌로4길 9,1,126.928630989782,37.5574341979452,446,홍대입구,2,67,동교동삼거리(중)
프레임바이로찌,,3120187,신논현역,서울특별시 강남구 역삼동 809-3,서울특별시 강남구 봉은사로2길 12,,127.025525641842,37.5038614445649,680,강남,2,85,교보타워사거리(경유)
유커피아,,3110177,동의초등학교,서울특별시 광진구 구의동 32-46,서울특별시 광진구 자양로50길 23,1,127.093703500527,37.5522288399848,362,아차산,5,323,어린이대공원후문
카페라움,,3110863,난우초등학교,서울특별시 관악구 신림동 587-29,서울특별시 관악구 난곡로42길 3,1,126.916849553252,37.4756784550756,1355,신대방,2,33,신일교회앞
해브어나이스데이,,3120055,군자역,서울특별시 광진구 중곡동 157-20,서울특별시 광진구 천호대로109길 7,1,127.08083032163,37.5572208705228,113,군자,5,123,군자역.용마초등학교(중)
옥이커피,,3120139,대림3동사거리,서울특별시 영등포구 대림동 665-13,서울특별시 영등포구 대림로40길 10,1,126.898251557597,37.5012705373877,928,대림,7,526,성락교회
스위스워터커피,,3120207,선정릉역,서울특별시 강남구 삼성동 41-20,서울특별시 강남구 선릉로112길 39,1,127.046724878295,37.5121261858619,743,강남구청,7,126,삼성2문화센터
프리레인강남,,3120203,강남구청역,서울특별시 강남구 논현동 118-6,서울특별시 강남구 학동로53길 3-2,1,127.040133482148,37.5173454214163,97,강남구청,7,132,강남구청역
엘제이와이,,3120191,학동역,서울특별시 강남구 논현동 215,서울특별시 강남구 논현로 662,1,127.031501014203,37.513221441966,118,학동,7,176,학동역6번출구
카페더육삼공,,3110997,대청초등학교,서울특별시 강남구 일원동 676,서울특별시 강남구 일원로5길 30,1,127.083111454157,37.4915091998488,393,대청,3,232,영희초등학교
데쎄르룸,,3110970,학동초등학교,서울특별시 강남구 논현동 269-16,서울특별시 강남구 봉은사로51길 13,,127.042471342927,37.5109294561421,704,강남구청,7,214,한국토지주택공사앞
카페아이미마인,,3110544,망리단길,서울특별시 마포구 망원동 405-30,서울특별시 마포구 망원로6길 46,지,126.903667503373,37.5549387271559,582,망원,6,514,망원시장.망원동월드컵시장입구
웨이프,,3110763,영등포구청역 2번,서울특별시 영등포구 당산동3가 395-12,서울특별시 영등포구 당산로33길 21,1,126.894652205333,37.5275766852408,266,영등포구청,2,132,당산동삼익아파트
스타벅스,학동역,3120191,학동역,서울특별시 강남구 논현동 87,서울특별시 강남구 논현로 704,,127.030766371705,37.5146091817081,94,학동,7,58,학동역
커피나인대치사거리,,3120217,대치사거리,서울특별시 강남구 대치동 961-5,서울특별시 강남구 역삼로 514,1,127.059849687084,37.5033354679121,679,삼성,2,118,대치사거리
성북동연우재,,3110286,한성대입구역 5번,서울특별시 성북구 성북동1가 61,서울특별시 성북구 성북로 15-6,,127.004427087964,37.5894049637815,234,한성대입구,4,347,삼선교.한성대학교.조소앙활동터(중)
스타벅스,센터필드R,3120204,르네상스호텔사거리,서울특별시 강남구 역삼동 676,서울특별시 강남구 테헤란로 231,,127.041358464256,37.5028838763195,500,역삼,2,221,서울상록회관.한국기술센터
써니데이커피,,3110477,은평세무서,서울특별시 은평구 녹번동 156-42,서울특별시 은평구 은평로11길 12,1,126.923424590893,37.6019310163689,462,역촌,6,113,서부경찰서후문
랑주317,,3110272,신내1동주민센터,서울특별시 중랑구 신내동 412-9,서울특별시 중랑구 용마산로129길 40,1,127.098744325476,37.607320489289,763,신내,6,112,동성프라자앞
커피데이,,3120113,오목교역,서울특별시 양천구 목동 406-30,서울특별시 양천구 오목로 342,,126.875345916582,37.5244494304866,29,오목교,5,118,오목교역
카페미뇽오목교역점,,3120113,오목교역,서울특별시 양천구 목동 406-30,서울특별시 양천구 오목로 342,,126.875345916582,37.5244494304866,29,오목교,5,118,오목교역
카페이십센치,,3110888,청룡동주민센터,서울특별시 관악구 봉천동 1539-14,서울특별시 관악구 참숯1길 4,1,126.942114239947,37.4791083590274,368,봉천,2,109,e편한세상서울대입구아파트
금옥당,,3120093,연희동,서울특별시 서대문구 연희동 132-38,서울특별시 서대문구 연희로11라길 2,1,126.929673578421,37.5680215307232,1362,홍대입구,2,392,연희104고지앞.구성산회관(중)
몽에덴,,3110027,혜화역 1번,서울특별시 종로구 동숭동 4-170,서울특별시 종로구 동숭4라길 35,지,127.006374023633,37.5831880235284,424,혜화,4,427,혜화역2번출구.마로니에공원
스몰커피,,3110259,사가정역 1번,서울특별시 중랑구 면목동 606-20,서울특별시 중랑구 사가정로45길 5,1,127.085158472924,37.5813464815201,299,사가정,7,80,면목두산아파트2차
본솔카페,숙대점,3110069,숙대입구,서울특별시 용산구 청파동2가 64-13,서울특별시 용산구 청파로47길 71,1,126.966460167633,37.5448460383961,485,숙대입구,4,359,숙대입구
디어파인,,3110069,숙대입구,서울특별시 용산구 청파동2가 64-13,서울특별시 용산구 청파로47길 71,1,126.966460167633,37.5448460383961,485,숙대입구,4,359,숙대입구
스탠다드브레드cafe,,3120200,학동사거리,서울특별시 강남구 신사동 654-10,서울특별시 강남구 도산대로53길 13,2,127.038270495659,37.5240495013791,806,강남구청,7,121,씨네시티앞
커피빈신논현역2번출구점,코리아,3120187,신논현역,서울특별시 서초구 반포동 748-12,서울특별시 서초구 강남대로 475,,127.023829488091,37.5047357741833,741,논현,7,89,신논현역1번출구
소잉카페;이어지다,,3110575,대흥동주민센터,서울특별시 마포구 노고산동 1-21,서울특별시 마포구 신촌로 142,2,126.941262405007,37.556242831065,404,신촌,2,53,신촌아트레온
